Lead Source,Total Time Spent on Website,Total Visits,Last Activity,Converted
Social Media,1754,16,Other,0
Organic Search,2169,9,Other,0
Referral,3756,17,Other,0
Organic Search,1179,16,Other,0
Organic Search,3309,6,Other,0
Google,2423,7,Other,1
Referral,4177,16,Page Visited,0
Referral,4587,8,Form Submitted,1
Referral,924,10,Other,0
Organic Search,1603,14,Page Visited,1
Social Media,3052,11,Email Opened,0
Referral,4218,2,Page Visited,1
Organic Search,4803,12,Page Visited,0
Google,2377,13,Page Visited,0
Social Media,3480,15,Other,0
Google,3182,12,Email Opened,1
Social Media,2817,13,Page Visited,1
Organic Search,3160,8,Email Opened,0
Direct Traffic,4805,16,Page Visited,0
Social Media,4889,3,Other,0
Google,711,13,Page Visited,0
Organic Search,2586,12,Page Visited,0
Social Media,2648,19,Email Opened,0
Direct Traffic,1717,2,Email Opened,1
Direct Traffic,4352,1,Email Opened,1
Referral,870,8,Form Submitted,0
Referral,3574,9,Email Opened,0
Google,4904,8,Page Visited,0
Social Media,270,17,Form Submitted,0
Social Media,1543,9,Email Opened,0
Referral,549,6,Other,0
Social Media,4663,15,Email Opened,1
Social Media,4014,13,Other,1
Direct Traffic,4454,12,Form Submitted,0
Referral,1712,13,Other,0
Organic Search,3240,7,Form Submitted,1
Referral,1362,18,Other,1
Organic Search,4893,14,Email Opened,0
Direct Traffic,1284,11,Form Submitted,1
Google,886,14,Page Visited,0
Social Media,2258,17,Page Visited,0
Direct Traffic,4382,2,Page Visited,0
Social Media,1785,19,Email Opened,1
Google,4838,16,Page Visited,0
Google,3543,10,Form Submitted,0
Direct Traffic,295,8,Page Visited,1
Google,2053,5,Form Submitted,1
Organic Search,2597,7,Page Visited,1
Google,680,13,Other,0
Social Media,4890,16,Form Submitted,1
Social Media,4298,5,Page Visited,0
Social Media,324,16,Page Visited,0
Social Media,2291,15,Page Visited,0
Organic Search,4422,9,Form Submitted,0
Referral,986,12,Form Submitted,0
Direct Traffic,3118,8,Page Visited,1
Social Media,760,13,Other,0
Google,3693,5,Form Submitted,0
Social Media,1036,14,Form Submitted,0
Google,906,16,Other,0
Google,364,11,Email Opened,0
Social Media,3413,12,Other,1
Organic Search,1069,15,Page Visited,1
Google,4369,12,Form Submitted,1
Google,2255,9,Form Submitted,0
Social Media,3686,1,Form Submitted,0
Google,4219,3,Form Submitted,0
Google,3081,12,Email Opened,1
Social Media,3258,13,Form Submitted,0
Social Media,2107,6,Form Submitted,0
Direct Traffic,2933,10,Email Opened,0
Organic Search,2829,10,Page Visited,0
Organic Search,441,16,Page Visited,0
Google,1559,1,Email Opened,0
Organic Search,1741,16,Page Visited,1
Google,625,4,Page Visited,1
Direct Traffic,3863,6,Other,0
Social Media,1690,19,Other,0
Social Media,2781,2,Other,1
Social Media,90,18,Email Opened,0
Organic Search,3006,10,Form Submitted,0
Direct Traffic,4302,4,Email Opened,1
Organic Search,1088,1,Email Opened,0
Organic Search,4611,15,Email Opened,0
Direct Traffic,1180,10,Email Opened,0
Direct Traffic,1901,18,Other,0
Direct Traffic,4490,16,Email Opened,0
Direct Traffic,186,13,Other,0
Social Media,1597,15,Form Submitted,0
Referral,3408,2,Page Visited,0
Referral,3747,4,Other,0
Direct Traffic,2670,1,Email Opened,0
Referral,4825,7,Form Submitted,0
Referral,239,11,Email Opened,0
Direct Traffic,2580,10,Form Submitted,0
Referral,4236,1,Page Visited,0
Organic Search,138,11,Form Submitted,0
Google,2506,10,Form Submitted,0
Google,4165,14,Page Visited,0
Direct Traffic,4480,14,Page Visited,0
Social Media,4725,7,Form Submitted,1
Direct Traffic,2245,11,Email Opened,0
Social Media,4300,4,Other,0
Google,1749,2,Email Opened,0
Direct Traffic,567,7,Other,1
Organic Search,4900,19,Page Visited,0
Referral,881,14,Email Opened,0
Social Media,639,19,Page Visited,0
